jobTitle,postedDate,jobDescription,jobUrl
"IT Project Lead (Dynamic AX) - Basic up $6000, MNC Company, West",28-Jan-23,"<p><strong>Benefits:</strong></p><ul><li>Basic up $6000</li><li>West</li><li>Monday - Friday</li></ul><p><strong>Job Scope:</strong></p><ul><li>Support company's Microsoft Dynamics AX<strong> </strong>system</li><li>Handle on project requirements, priorities and deadlines</li><li>Handle vendors effectively to achieve project timeframe</li><li>Work closely with internal team such as developers, business analysts, operations, finance, stakeholders for process improvements</li><li>Monitor project progress and adjust resources and priorities accordingly. </li><li>Prepares and presents progress reports to management</li></ul><p><strong>Job Requirement:</strong></p><ul><li>Min 2 years Dynamic AX knowledge is a must</li><li>Degree in Computer Engineering, Computer Systems or equivalent</li></ul><p>Please submit your updated resume in MS word format by using the <strong>APPLY NOW BUTTON.</strong></p><p>We regret that only shortlisted candidates will be notified.</p><p><strong>Staffking Pte Ltd (20C0358) | Wei Yang (R21102313)</strong></p>",https://www.jobstreet.com.my/en/job/it-project-lead-dynamic-ax-basic-up-%246000-mnc-company-west-10385663/origin/sg
Project Executive,18-Jan-23,"<p><u>Job Description</u></p><p>We are looking for a resourceful and meticulous Project Executive to join the Project Management Office (PMO) to assist our Project Managers to achieve benefit realisation of the projects</p><p>As a Project Executive, you will provide support and implement IT system(s) change requests from business users and be trained in management reporting for the stakeholders. If you enjoy the process of problem solving and solutioning, do not miss this career opportunity!</p><p><strong><u>Job Scope</u></strong></p><ul><li>Assist Project Manager to achieve benefit realisation of the project</li><li>Attend meetings with the PM and record all important information</li><li>Prepare and create the minutes of the meeting</li><li>Provide timely reports and updates necessary details to project team</li><li>Conduct User Acceptance Testing (UAT)</li><li>Manage the scope and day-to-day operations of the project</li><li>Create, execute, and revise all project documentation to meet the needs and requirements of the client</li><li>Review team-prepared deliverables prior to notifying the PM to review them</li><li>Ensure that all project documents are complete, up-to-date, and stored correctly</li><li>Create a Jira ticket for each issue that has been reported</li><li>Understand all issues that have been reported (SR, Bug, Inquiries,…)</li><li>Work closely with the developer/engineer to resolve any issue/SR and determine the cost/impact/timeline for any CR</li><li>Perform the Systems Integration Testing (SIT)</li><li>Conduct the meeting with the client and gather any necessary information where required</li><li>Discuss decisions with the PM before informing the client</li><li>Daily/weekly updates to PM on the status of all issues</li></ul><p><strong><u>Qualification</u></strong></p><ul><li>Diploma / University Degree IT Related Graduate</li><li>A plus to have attained Project Management related training or Project Management Certified (E.g: PMP, CITPM, Agile, etc)</li><li>Minimum 1 year of Relevant Project Management working experience</li><li>Good in interpersonal, communication, planning and analytical skills</li><li>Good in stakeholder management and ability to manage multiple vendors and internal technical resources as part of the project team</li><li>Willing to learn attitude, good team spirit and willing to take up new challenges with positive personality and mindset</li></ul>",https://www.jobstreet.com.my/en/job/project-executive-5251248
IT Project Management Executive,9-Jan-23,"<ul><li>Support and interact with the business team in pro actively identifying and defining areas of improvement and list the requirements to improve business processes with the help of IT applications.</li><li>Lead and facilitate meetings to gather requirements of products and business process for projects, optimization and support.</li><li>Liaison between developer team and end users in IT projects and assists along the software development life cycle and complete the project within the timeline.</li><li>To plan and coordinate and/ or conduct User Acceptance Test UAT.</li><li>To provide daily technical support on matters related to hardware, software and network.</li><li>To maintain current and accurate inventory of technology hardware, software, and resources. </li><li>Any other tasks, projects or ad-hoc duties that may be assigned to you from time to time by the management. </li></ul><p>Requirements:</p><ul><li>Candidate must possess at least Diploma / Degree in Computer Science, Information Technology or equivalent.</li><li>Required language: English, Mandarin, Bahasa Malaysia</li><li>At least 2 Year(s) working experience of project management in the related field.</li><li>Familiarity with project management software tools, methodologies, and best practices.</li><li>Preferably Junior Executive specialized in Banking / Finance Services or equivalent.</li></ul>",https://www.jobstreet.com.my/en/job/it-project-management-executive-5240267
Project Executive,26-Jan-23,"<p>Roles and Responsibilities:</p><p>·      Coordinate project based on company's Project Management Methodology.</p><p>·      Coordinate internal resources and third parties/vendors for the project execution.</p><p>·      Assist Project Manager in daily administrative duties for the company and assistance whenever required.</p><p>·      Maintain good rapport with all project stakeholders.</p><p>·      Prepare project progress presentation/report to client prior to project meeting.</p><p>·      Prepare minutes of meeting after project meeting with client.</p><p>·      Manage small scale projects when required.</p><p>·      Attend training as required to maintain technical competency.</p><p>Requirements:</p><p>·      Minimum Diploma in Computer Science or related field.</p><p>·      Have working experience in the Project Coordinator field in the ICT industry and/or software development industry is a plus.</p><p>·      Excellent communication skill in written and verbal.</p><p>·      Documentation management and ability to use project management tools (example Microsoft Project, Monday.com).</p><p>·      Attention to details even under pressure.</p><p>·      Good time management skills.</p><p>·      Well-groomed and good interpersonal skill.</p><p>·      Working knowledge of Microsoft Office.</p>",https://www.jobstreet.com.my/en/job/project-executive-5253849
Project Management Executive,16-Jan-23,"<u>Roles &amp; Responsibilities</u><p><strong> </strong>-      Responsible for the standardised management of the project, and lead the delivery team to complete the project objectives on time and with high quality</p><p>-      According to the project management process, coordinate and connect internal and external resources, and solve major and difficult problems in the project delivery process.</p><p>-      Monitoring projects progress and performance</p><p>-      Liaising across different departments for technical and quality issues</p><p>-      Project planning and execution – solve any upcoming issues to ensure projects are completed within the designated time-frame</p><p>-      Providing daily support to project teams.</p><p>-      Provide project updates on a consistent basis to the project manager.</p><p>-      Responsible for all project reports requests from time to time.</p> <u>Requirement &amp; Skills</u><p>-      Proven experience as Project Management Executive or similar role</p><p>-      Strong communication and execution skills, able to handle personnel relationships at all levels independently and skilfully.</p><p>-      Strong driving ability, result-oriented, able to fully control the project from strategy to detail level</p><p>-      Proficient in Microsoft Office especially MS Excel, MS Word, MS PowerPoint.</p><p>-      Highly meticulous and able to meet tight deadlines</p><p>-      Good in thought process, analytical and problem-solving skills</p><p>-      Good art sense and with fundamental HTML knowledge is a plus</p><p>-      Fresh graduates are welcomed to apply</p>",https://www.jobstreet.com.my/en/job/project-management-executive-5248226
Head - Project Management & MIS,16-Jan-23,"<p><strong><u>Responsibilities</u></strong></p><p>1.    Project Management</p><ul><li>Planning and monitoring the project, including preparing and maintaining project, stage and exception plans as required.</li><li>Managing project risks, including the development of contingency plans.</li><li>Monitoring overall progress and use of resources, initiating corrective action where necessary.</li><li>Reporting through agreed lines on project progress through highlight reports and end-stage assessments.</li><li>Adopting and applying appropriate technical and quality strategies and standards in resolving current or potential risks/ issues.</li><li>Identifying and obtaining support and advice required for the management, planning and control of the project</li><li>Managing project administration for new and ongoing projects or application enhancements, including annual and adhoc budgetary requirements.</li><li>Preparing any follow-on action recommendations</li></ul><p>2.    Managing a team of application support and business analysts</p><ul><li>Monitoring of assigned outstanding vendor issue logs.</li><li>Managing vendor’s SLA and arrangement of department team resources.</li><li>Review and validate requests to extract data from applications.</li></ul><p>3.    Security &amp; Compliance</p><ul><li>Monitoring of regular periodic reviews, constant review of guidelines and enhancements/ initiatives to ensure supporting documents are documented.</li><li>Engagement with the Group’s TISO and Cybersecurity team on regulatory requirements.</li><li>Develop and maintain Information Security and other related policies and guidelines when required.</li></ul><p><strong><u>Requirements</u></strong></p><ol><li>Bachelor's degree in computer science, software engineering, Information Technology and Information Systems or related fields.</li><li>Minimum of 5 years' experience in related field.</li><li>Must have experience working on cross-functional projects as well as handling day-to-day operational requests from the business. Strong project management skills, ability to successfully manage multiple tasks at any given point, strong relationship building skills &amp; communication skills</li><li>Data analysis – experience working with data and must have proficiency with Microsoft Word, Excel, PowerPoint</li><li>Knowledge of current technological trends in the IT industry, including LAN, WAN, internet technologies, telecommunications, operating systems, software, network cyber security, compliance and databases.</li><li>Strong written, analytical, interpersonal and verbal communication skills.</li></ol>",https://www.jobstreet.com.my/en/job/head-project-management-mis-5247162
Project Executive,17-Jan-23,"<p><strong>Job Description</strong></p><ul><li>Responsible for the planning, execution and management various project to ensure smooth progress and achieve target date of completion.</li><li>Carry out work schedule with main contractor, subcontractor and direct supervisor</li><li>Monitor project progress and ensure weekly reporting is done about progress, non-compliance and delays</li><li>Actively monitor the work environment for hazards as well as conduct quality and safety audit</li><li>Proper instruction documentation, project administration and correspondence are carried out in timely manner</li><li>Communicate and provide reports and presentations outlining the project status to the management</li><li>Introduce new ideas and method to more efficiently manage projects and cost</li><li>Ensure units produced or manufactured comply with an established quality standard.</li><li>Coordinate with client and production according to the manufacturing drawings.</li></ul><p><strong>Benefits of this role </strong> </p><ul><li>You will have the opportunity to climb the corporate ladder in the future.  </li><li>Training and certification sponsored by the company.  </li><li>Rewards and recognition: Long Service Award, Best Performer Award, Role Model Awards and etc.</li></ul>",https://www.jobstreet.com.my/en/job/project-executive-5248247
Database Engineer,11-Jan-23,"<p><strong>Responsibilities:</strong></p><ul><li>Determine customer requirements, conduct feasibility study and work on project planning</li><li>Project Implementation as well as related technical support</li><li>Cooperate and communicate effectively with project manager and other project participants to provide assistance and technical support</li><li>Perform overall quality control of work and report regularly on project status</li></ul><p><strong>Requirements:</strong></p><ul><li>Degree in Computer Science/Information Technology or its equivalent</li><li>Willing to travel overseas and possess good communication skill</li><li>Self-starter with analytical mind and able to work with minimum supervision</li><li>Good abilities in database design and able to write Stored Procedure and SQL scripts</li><li>Experience in MS SQL Database Administration, integration of web/application servers and back-end systems is an added advantage</li><li>Applicants should be Malaysian citizens or hold relevant residence status.</li><li><strong>Fresh graduates are encouraged to apply</strong></li></ul><p><strong><em>What's in it for you?</em></strong></p><ul><li>Excellent benefits such as insurances, medical claim, health screening, vision and dental claim</li><li>Strategic location. We are located in Brickfields area, which is within a walking distance from KL Sentral LRT station.</li></ul>",https://www.jobstreet.com.my/en/job/database-engineer-5243738
Project Specialist,27-Jan-23,"<p><strong>You are responsible for (but not limited to):</strong></p><ul><li>Establishes project requirements by studying organization plans and objectives</li><li>Partner with IT teams across Shangri-La on projects requiring IT intervention</li><li>Lead projects end to end as assigned with attention to scope, timeline, budget, risk, KPI’s and other project elements.</li><li>Set up project progress meetings, capture minutes, and follow up on the action items.</li><li>Collaborate with Operations and stay fully abreast on SOP/SYSTEM and Policies</li><li>Maintain Issue logs and liaise with POC to ensure resolution by following thru and escalating when appropriate</li><li>Preparation of Project related reports. Ensure completion of all project documentation.</li><li>Effective communicator across all levels of the organization</li><li>Defect elimination to improve work efficiency.</li></ul><p><strong>To succeed in this role, you should have the following skills and experience</strong></p><ul><li>Bachelor's degree/ diploma in any related field with minimum 3 years of relevant experience</li><li>Excellent spoken and written English is essential.</li><li>Ability to converse &amp; write in Mandarin &amp; Cantonese is a MUST</li><li>Experience in project management methodology.</li><li>Professional presentation of self</li><li>Project Management background/experience</li><li>Computer literate and internet savvy.</li><li>Flexible to changes and has a sense of urgency</li><li>Can work under pressure and deliver on set goals</li><li>Positive work attitude and ability to work in a team environment</li><li>People leadership experiences desired/preferred.</li></ul>",https://www.jobstreet.com.my/en/job/project-specialist-5257933
PROJECT EXECUTIVE (MYEG HQ),25-Jan-23,<ul><li>To liaise / communicate with stakeholder to collect information and documents for submission.</li><li>Follow up cases and update the progress.</li><li>Make sure all is on track.</li><li>Prepare daily report to superior.</li><li>Find and gather information / news / updates regarding current project.</li><li>Submit application online according to customer requirement.</li><li>Attend / liaise with authority to settle the case (JIM/KSM/FWCMS/Embassy)</li><li>Standby to pick up FW at airport and drop off at employer preferred location.</li></ul>,https://www.jobstreet.com.my/en/job/project-executive-myeg-hq-5256088
BUSINESS DEVELOPMENT CUM PROJECT EXECUTIVE,2-Feb-23,"<p><strong>Why this job exist and why is it crucial?</strong></p><p>A Business Development cum Project Executive role will be in-charge of projects and supply and will represent the company in meeting industry professionals to present, manage and also supply in to established projects around Malaysia. Join us to be apart of the the 3P's; People, Product and Process experience of the Joven team.</p><p><strong>Job Responsibilities:</strong></p><ul><li>Responsible for sourcing for new potential and follow-up project clients</li><li>Prepare quotations and tender for project</li><li>Do appointments, presentations and training to professional clients</li><li>Able to explain on technical aspect and do product commissioning prior to installation of a product</li><li> Problem solving on product or installation matters</li><li>Conduct cold calls and to identify new projects</li><li>Responsible to provide reports on monthly project delivery and follow-up report</li><li>Assist in technical issues arising from service-related matters</li></ul><p><strong>Job Requirements:</strong></p><ul><li>Candidate must possess at least a Diploma or Degree in Engineering, Mechanical or Electrical.</li><li>Required language(s): English</li><li>Preferred language(s): Bahasa</li><li>At least 1 year(s) of working experience in the related field is required for this position.</li><li>Candidates with additional experience related to electrical installation will be an added advantage.</li><li>Applicants must be willing to work in Shah Alam.</li><li>Applicants should be Malaysian citizens or hold relevant residence status.</li><li>Training would be provided</li><li>Full-Time position available</li></ul>",https://www.jobstreet.com.my/en/job/business-development-cum-project-executive-5265084
